station_code,raw_station_code,station_id,station_name,province,amphoe,utok_id,basin_id,basin_name,group_id,group_name,zero_gauge_msl,bank_level_relative_m,bank_level_msl,warning_level_msl,critical_level_msl,ground_level,qmax
Z.62,Z.62,409,บ้านค่าย,ระยอง,บ้านค่าย,6,18,ลุ่มน้ำชายฝั่งทะเลตะวันออก,691,คลองใหญ่,3.369999885559082,6.849999904632568,10.22,9.72,10.22,3.369999885559082,144.89999389648438
Z.64,Z.64,622,บ้านท่าหลวง,จันทบุรี,มะขาม,6,18,ลุ่มน้ำชายฝั่งทะเลตะวันออก,694,แม่น้ำจันทบุรี,0.0,7.210000038146973,7.21,6.71,7.21,0.0,542.7000122070312
Z.65,Z.65,679,บ้านวังอีแอ่น,จันทบุรี,แก่งหางแมว,6,18,ลุ่มน้ำชายฝั่งทะเลตะวันออก,1101, คลองประแกต,42.349998474121094,3.6500000953674316,46.0,45.5,46.0,42.349998474121094,23.399999618530273
Z.66,Z.66,681,บ้านคลองพร้าว,ตราด,เกาะช้าง,6,18,ลุ่มน้ำชายฝั่งทะเลตะวันออก,1149,คลองพร้าว,0.0,6.059999942779541,6.06,5.56,6.06,0.0,600.2000122070312
E.100,E.100,667,บ้านหนองม่วง,ชัยภูมิ,หนองบัวระเหว,3,4,ลุ่มน้ำชี,1077,ลำเชียงทา,198.0,7.0,205.0,204.5,205.0,198.0,60.0
E.101,E.101,666,บ้านท่าบอน,ชัยภูมิ,หนองบัวระเหว,3,4,ลุ่มน้ำชี,1077,ลำเชียงทา,219.0,4.0,223.0,222.5,223.0,219.0,37.0
E.102,E.102,604,บ้านดอนยาง,ยโสธร,เมืองยโสธร,3,4,ลุ่มน้ำชี,650,ลุ่มน้ำยัง,118.6500015258789,9.5,128.15,127.65,128.15,118.6500015258789,
E.103,E.103,693,บ้านเดื่อ ต.กุดน้ำใส,ชัยภูมิ,จัตุรัส,3,4,ลุ่มน้ำชี,1153,ลำคันฉู,192.0,5.0,197.0,196.5,197.0,192.0,120.0
E.104,E.104,662,บ้านศรีสำราญ,ชัยภูมิ,คอนสวรรค์,3,4,ลุ่มน้ำชี,1070,ห้วยสามหมอ,167.0,5.300000190734863,172.3,171.8,172.3,167.0,73.0
E.105,E.105,645,บ้านจาน ,มหาสารคาม,เชียงยืน,3,4,ลุ่มน้ำชี,789,ลุ่มน้ำชีกลาง1,152.0,4.0,156.0,155.5,156.0,152.0,50.0
E.109,E.109,682,บ้านวังหมื่น,หนองบัวลำภู,เมืองหนองบัวลำภู,3,4,ลุ่มน้ำชี,1114,ลำพะเนียง,205.0,4.5,209.5,209.0,209.5,205.0,115.0
E.16A,E.16A,195,บ้านกุดกว้าง,ขอนแก่น,เมืองขอนแก่น,3,4,ลุ่มน้ำชี,745,ลุ่มน้ำชีกลาง,142.6999969482422,9.600000381469727,152.3,151.8,152.3,142.6999969482422,650.0
E.18,E.18,196,บ้านท่าสะแบง,ร้อยเอ็ด,ทุ่งเขาหลวง,3,4,ลุ่มน้ำชี,789,ลุ่มน้ำชีกลาง1,122.19999694824219,9.800000190734863,132.0,131.5,132.0,122.19999694824219,1050.0
E.20A,E.20A,197,บ้านฟ้าหยาด,ยโสธร,มหาชนะชัย,3,4,ลุ่มน้ำชี,651,ลุ่มน้ำชีตอนล่าง,112.0,10.0,122.0,121.5,122.0,112.0,1100.0
E.21,E.21,198,บ้านแก่งโก,ชัยภูมิ,เมืองชัยภูมิ,3,4,ลุ่มน้ำชี,563,ลุ่มน้ำชีตอนบน,163.0,11.5,174.5,174.0,174.5,163.0,450.0
E.22B,E.22B,199,บ้านท่าเม่า,ขอนแก่น,น้ำพอง,3,4,ลุ่มน้ำชี,1171,ลำน้ำพอง,150.89999389648438,10.0,160.9,160.4,160.9,150.89999389648438,430.0
E.23,E.23,200,บ้านค่าย,ชัยภูมิ,เมืองชัยภูมิ,3,4,ลุ่มน้ำชี,563,ลุ่มน้ำชีตอนบน,176.1999969482422,9.0,185.2,184.7,185.2,176.1999969482422,270.0
E.29A,E.29A,201,บ้านผานกเค้า,เลย,ภูกระดึง,3,4,ลุ่มน้ำชี,1171,ลำน้ำพอง,228.0,10.5,238.5,238.0,238.5,228.0,240.0
E.2A,E.2A,190,ประปายโสธร,ยโสธร,เมืองยโสธร,3,4,ลุ่มน้ำชี,651,ลุ่มน้ำชีตอนล่าง,114.0,12.0,126.0,125.5,126.0,114.0,1080.0
E.32A,E.32A,202,บ้านหนองอ้อ,ชัยภูมิ,บ้านเขว้า,3,4,ลุ่มน้ำชี,563,ลุ่มน้ำชีตอนบน,198.0,12.0,210.0,209.5,210.0,198.0,500.0
